cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05
Las Condes,22.0,37.0,30.0,30.0,35.0,24.0,112.0,101.0,92.0,75.0,80.0,86.0,100.0,129.0,93.0,123.0,125.0,120.0,101.0,106.0,105.0,66.0,68.0,81.0,77.0,67.0,63.0,75.0,47.0,54.0,48.0,47.0,35.0,48.0,30.0,30.0,23.0,17.0,29.0,27.0,20.0,23.0,27.0,18.0,21.0,19.0,18.0,28.0,30.0,38.0,28.0,42.0,34.0,34.0,49.0,37.0,38.0,67.0,58.0,92.0,83.0,87.0,85.0,73.0,83.0,69.0
Llanquihue,2.0,,3.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Lo Barnechea,11.0,24.0,14.0,10.0,17.0,8.0,41.0,35.0,35.0,33.0,24.0,19.0,28.0,32.0,34.0,45.0,53.0,44.0,46.0,31.0,39.0,17.0,25.0,29.0,32.0,24.0,25.0,30.0,24.0,24.0,19.0,29.0,24.0,20.0,18.0,15.0,11.0,14.0,10.0,11.0,9.0,9.0,10.0,6.0,11.0,11.0,11.0,11.0,7.0,8.0,5.0,9.0,11.0,10.0,12.0,11.0,17.0,16.0,27.0,35.0,38.0,45.0,37.0,37.0,39.0,52.0
Lo Espejo,14.0,11.0,5.0,8.0,7.0,4.0,26.0,26.0,24.0,32.0,28.0,35.0,34.0,33.0,27.0,43.0,40.0,34.0,22.0,24.0,21.0,16.0,24.0,32.0,28.0,27.0,21.0,27.0,20.0,17.0,21.0,20.0,17.0,13.0,8.0,11.0,9.0,6.0,11.0,12.0,7.0,11.0,6.0,6.0,7.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,2.0,8.0,2.0,5.0,7.0,5.0,4.0,8.0,4.0
Lo Prado,38.0,39.0,32.0,27.0,32.0,17.0,60.0,49.0,51.0,63.0,64.0,81.0,55.0,68.0,48.0,64.0,51.0,56.0,72.0,53.0,65.0,51.0,59.0,57.0,43.0,62.0,51.0,44.0,50.0,37.0,40.0,34.0,47.0,40.0,37.0,34.0,24.0,16.0,22.0,20.0,19.0,20.0,18.0,12.0,13.0,13.0,19.0,7.0,14.0,15.0,6.0,13.0,13.0,8.0,16.0,7.0,12.0,9.0,8.0,15.0,11.0,14.0,14.0,12.0,8.0,6.0
Loncoche,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,
Longaví,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonquimay,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
Los Andes,1.0,,,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,2.0,2.0,,1.0,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Vilos,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
Los Álamos,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
Los Ángeles,,5.0,1.0,2.0,2.0,,1.0,,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,,2.0,1.0,1.0,4.0,,3.0,4.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,5.0,2.0,2.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,,1.0,1.0,2.0,,,1.0,,,
Lota,7.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,1.0,
Macul,15.0,14.0,17.0,15.0,11.0,13.0,52.0,48.0,43.0,55.0,51.0,50.0,53.0,66.0,34.0,42.0,44.0,62.0,48.0,44.0,46.0,26.0,39.0,36.0,27.0,38.0,31.0,34.0,27.0,18.0,34.0,18.0,30.0,23.0,13.0,21.0,11.0,6.0,13.0,11.0,8.0,7.0,6.0,10.0,7.0,8.0,4.0,14.0,8.0,15.0,12.0,17.0,10.0,11.0,12.0,9.0,5.0,10.0,10.0,5.0,12.0,7.0,11.0,9.0,19.0,11.0
Maipú,86.0,105.0,93.0,90.0,87.0,73.0,230.0,200.0,231.0,193.0,183.0,212.0,198.0,206.0,173.0,218.0,258.0,264.0,233.0,249.0,198.0,167.0,192.0,204.0,190.0,193.0,158.0,156.0,137.0,121.0,144.0,116.0,141.0,138.0,108.0,96.0,72.0,70.0,72.0,74.0,70.0,43.0,54.0,43.0,36.0,56.0,38.0,45.0,56.0,46.0,27.0,49.0,33.0,40.0,38.0,27.0,28.0,39.0,33.0,42.0,49.0,61.0,42.0,55.0,53.0,48.0
Maria Elena,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Pinto,11.0,5.0,4.0,5.0,6.0,3.0,5.0,5.0,10.0,12.0,17.0,10.0,16.0,13.0,15.0,24.0,26.0,29.0,31.0,18.0,22.0,15.0,4.0,10.0,9.0,5.0,5.0,8.0,11.0,4.0,8.0,6.0,4.0,12.0,10.0,10.0,3.0,,5.0,3.0,5.0,3.0,6.0,1.0,9.0,3.0,4.0,7.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,2.0,
Mejillones,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,3.0,,,,3.0,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melipeuco,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melipilla,23.0,30.0,24.0,23.0,28.0,27.0,24.0,21.0,34.0,39.0,35.0,38.0,32.0,32.0,23.0,40.0,31.0,40.0,33.0,46.0,24.0,29.0,26.0,31.0,35.0,38.0,32.0,26.0,30.0,25.0,29.0,24.0,27.0,24.0,31.0,24.0,23.0,20.0,24.0,25.0,28.0,15.0,17.0,10.0,7.0,15.0,15.0,14.0,16.0,23.0,16.0,12.0,20.0,11.0,17.0,12.0,20.0,17.0,17.0,18.0,24.0,13.0,10.0,15.0,9.0,15.0
Mostazal,1.0,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,5.0,,,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulchén,1.0,2.0,2.0,3.0,2.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,3.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
Nacimiento,1.0,1.0,,,1.0,,1.0,,,1.0,,,4.0,,4.0,,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancagua,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Natales,,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,2.0,,,1.0,1.0,,,1.0,,,1.0,,
Navidad,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osorno,3.0,5.0,1.0,4.0,3.0,2.0,1.0,,1.0,,,,,,,4.0,3.0,5.0,3.0,2.0,3.0,,3.0,1.0,,4.0,6.0,3.0,4.0,4.0,3.0,5.0,7.0,6.0,3.0,5.0,2.0,3.0,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Padre Hurtado,13.0,12.0,16.0,9.0,11.0,9.0,63.0,52.0,54.0,57.0,36.0,42.0,21.0,29.0,26.0,22.0,20.0,45.0,42.0,51.0,33.0,39.0,42.0,42.0,37.0,52.0,33.0,31.0,30.0,28.0,25.0,36.0,18.0,30.0,23.0,18.0,6.0,11.0,6.0,11.0,11.0,16.0,8.0,19.0,8.0,16.0,11.0,13.0,13.0,11.0,8.0,6.0,9.0,6.0,5.0,8.0,4.0,8.0,1.0,5.0,7.0,8.0,12.0,10.0,12.0,8.0
Paiguano,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
Paine,18.0,14.0,13.0,20.0,15.0,13.0,36.0,29.0,31.0,25.0,26.0,30.0,24.0,36.0,25.0,29.0,20.0,39.0,21.0,27.0,15.0,19.0,21.0,17.0,16.0,19.0,21.0,16.0,13.0,12.0,22.0,20.0,22.0,16.0,15.0,24.0,4.0,8.0,5.0,7.0,8.0,3.0,7.0,7.0,3.0,11.0,8.0,7.0,10.0,10.0,8.0,4.0,8.0,8.0,5.0,5.0,5.0,8.0,5.0,10.0,8.0,12.0,15.0,12.0,9.0,14.0
Paredones,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Aguirre Cerda,20.0,23.0,22.0,18.0,20.0,16.0,41.0,36.0,38.0,30.0,34.0,36.0,39.0,42.0,24.0,35.0,36.0,45.0,46.0,51.0,52.0,41.0,42.0,54.0,41.0,40.0,42.0,48.0,27.0,30.0,25.0,37.0,24.0,20.0,25.0,23.0,13.0,11.0,13.0,11.0,13.0,9.0,10.0,8.0,9.0,8.0,5.0,10.0,11.0,15.0,7.0,13.0,9.0,8.0,12.0,10.0,6.0,8.0,9.0,7.0,12.0,11.0,10.0,10.0,11.0,9.0
Penco,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,2.0,,,,1.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,
Peñaflor,20.0,14.0,27.0,18.0,18.0,17.0,45.0,48.0,37.0,44.0,41.0,44.0,44.0,35.0,38.0,47.0,45.0,58.0,52.0,51.0,41.0,42.0,34.0,36.0,46.0,31.0,26.0,36.0,21.0,23.0,32.0,25.0,21.0,19.0,25.0,17.0,13.0,10.0,18.0,14.0,10.0,15.0,17.0,11.0,10.0,20.0,10.0,7.0,17.0,10.0,9.0,7.0,4.0,9.0,8.0,5.0,7.0,10.0,5.0,5.0,10.0,1.0,10.0,5.0,5.0,14.0
Peñalolén,38.0,46.0,41.0,35.0,37.0,26.0,85.0,70.0,80.0,76.0,70.0,68.0,61.0,76.0,54.0,75.0,83.0,104.0,90.0,96.0,81.0,42.0,66.0,66.0,70.0,65.0,62.0,69.0,48.0,48.0,61.0,54.0,47.0,49.0,53.0,46.0,34.0,21.0,21.0,12.0,16.0,20.0,27.0,13.0,17.0,27.0,14.0,15.0,21.0,15.0,13.0,12.0,8.0,19.0,22.0,16.0,20.0,24.0,20.0,20.0,28.0,19.0,18.0,23.0,27.0,27.0
Pichilemu,,1.0,1.0,,,1.0,,2.0,1.0,2.0,3.0,1.0,,2.0,1.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,,,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,
Pirque,12.0,10.0,11.0,10.0,5.0,12.0,8.0,7.0,7.0,10.0,4.0,12.0,9.0,4.0,6.0,8.0,6.0,8.0,6.0,14.0,13.0,13.0,16.0,12.0,11.0,19.0,12.0,12.0,8.0,9.0,11.0,13.0,13.0,11.0,15.0,11.0,9.0,19.0,15.0,16.0,19.0,17.0,15.0,16.0,11.0,5.0,13.0,3.0,1.0,2.0,3.0,4.0,2.0,7.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,4.0,3.0,5.0,9.0,3.0
Providencia,24.0,26.0,23.0,23.0,16.0,24.0,62.0,55.0,49.0,58.0,52.0,52.0,65.0,67.0,53.0,56.0,64.0,59.0,51.0,63.0,50.0,48.0,51.0,61.0,54.0,47.0,34.0,48.0,20.0,26.0,40.0,26.0,23.0,28.0,32.0,19.0,13.0,21.0,19.0,20.0,27.0,12.0,16.0,14.0,12.0,16.0,18.0,16.0,23.0,19.0,17.0,18.0,20.0,20.0,30.0,23.0,28.0,31.0,30.0,40.0,41.0,37.0,43.0,35.0,48.0,37.0
Pudahuel,66.0,56.0,71.0,49.0,56.0,58.0,118.0,128.0,118.0,117.0,137.0,119.0,137.0,124.0,109.0,134.0,128.0,139.0,148.0,110.0,133.0,115.0,127.0,151.0,102.0,132.0,103.0,94.0,86.0,76.0,89.0,71.0,70.0,64.0,70.0,58.0,34.0,34.0,46.0,38.0,25.0,33.0,34.0,21.0,30.0,23.0,23.0,36.0,18.0,39.0,14.0,18.0,32.0,17.0,26.0,14.0,20.0,27.0,17.0,24.0,26.0,22.0,24.0,34.0,37.0,38.0
Puente Alto,97.0,123.0,96.0,105.0,97.0,90.0,200.0,157.0,164.0,182.0,202.0,214.0,218.0,244.0,186.0,271.0,265.0,245.0,250.0,203.0,183.0,158.0,210.0,200.0,180.0,157.0,170.0,160.0,137.0,134.0,165.0,134.0,138.0,144.0,118.0,107.0,80.0,70.0,75.0,63.0,63.0,74.0,66.0,57.0,36.0,48.0,40.0,45.0,44.0,39.0,27.0,34.0,24.0,36.0,41.0,34.0,31.0,52.0,38.0,60.0,47.0,63.0,41.0,54.0,40.0,51.0
Puerto Montt,3.0,5.0,5.0,3.0,5.0,4.0,1.0,,1.0,,,1.0,2.0,1.0,,1.0,,4.0,1.0,3.0,2.0,2.0,1.0,2.0,7.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,2.0,,1.0,,1.0,2.0,2.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,
Punta Arenas,2.0,3.0,2.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,,2.0,,,1.0,2.0,,,1.0,3.0,1.0,1.0,,,,,2.0,,,2.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,3.0,
Puyehue,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
Quellón,,,,1.0,1.0,,,,,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,2.0,,,1.0,,,,1.0,1.0,,,,,2.0,,1.0,2.0,,,,,,,,
Quemchi,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Quilicura,35.0,39.0,35.0,32.0,33.0,22.0,77.0,70.0,66.0,73.0,63.0,68.0,80.0,88.0,60.0,90.0,86.0,82.0,76.0,75.0,83.0,58.0,76.0,64.0,85.0,63.0,67.0,68.0,38.0,52.0,54.0,30.0,41.0,51.0,31.0,37.0,25.0,22.0,34.0,33.0,22.0,28.0,26.0,24.0,26.0,18.0,17.0,23.0,13.0,19.0,10.0,17.0,17.0,19.0,11.0,12.0,21.0,15.0,20.0,23.0,23.0,28.0,24.0,20.0,23.0,24.0
Quillota,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,
Quilpue,1.0,2.0,1.0,1.0,1.0,,,,2.0,,,2.0,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
Quinta Normal,39.0,26.0,42.0,33.0,27.0,30.0,68.0,75.0,70.0,54.0,46.0,62.0,51.0,47.0,50.0,52.0,65.0,67.0,75.0,63.0,65.0,48.0,67.0,47.0,63.0,68.0,46.0,50.0,47.0,45.0,50.0,60.0,40.0,46.0,42.0,24.0,15.0,25.0,15.0,18.0,24.0,30.0,20.0,26.0,23.0,28.0,34.0,14.0,23.0,22.0,13.0,20.0,23.0,26.0,18.0,18.0,14.0,14.0,19.0,17.0,18.0,24.0,15.0,19.0,18.0,8.0
Rancagua,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,,3.0,1.0,1.0,1.0,,1.0,1.0,4.0,,1.0,2.0,,2.0,1.0,2.0,1.0,,1.0,1.0,,3.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,3.0
Recoleta,34.0,28.0,28.0,24.0,34.0,24.0,56.0,41.0,57.0,41.0,53.0,50.0,58.0,50.0,48.0,65.0,60.0,53.0,50.0,48.0,56.0,32.0,41.0,51.0,57.0,55.0,46.0,37.0,39.0,37.0,46.0,37.0,47.0,44.0,35.0,28.0,29.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,18.0,19.0,28.0,18.0,16.0,21.0,12.0,10.0,18.0,13.0,12.0,7.0,18.0,10.0,13.0,11.0,6.0,14.0,9.0,9.0,15.0,13.0
Renca,31.0,29.0,30.0,20.0,12.0,16.0,89.0,73.0,71.0,90.0,74.0,86.0,75.0,87.0,65.0,79.0,59.0,76.0,54.0,36.0,51.0,32.0,43.0,33.0,22.0,36.0,33.0,30.0,41.0,29.0,52.0,56.0,24.0,22.0,24.0,15.0,11.0,9.0,22.0,12.0,22.0,17.0,9.0,25.0,18.0,10.0,22.0,16.0,18.0,11.0,11.0,9.0,10.0,20.0,10.0,6.0,7.0,5.0,12.0,6.0,22.0,17.0,8.0,9.0,11.0,10.0
Rengo,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
Requínoa,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,
San Antonio,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,2.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
San Bernardo,48.0,57.0,54.0,53.0,42.0,38.0,90.0,81.0,80.0,70.0,80.0,80.0,85.0,85.0,61.0,67.0,82.0,101.0,96.0,108.0,92.0,69.0,94.0,114.0,103.0,99.0,84.0,99.0,60.0,64.0,67.0,57.0,59.0,69.0,65.0,57.0,32.0,24.0,38.0,29.0,33.0,24.0,30.0,21.0,23.0,26.0,15.0,29.0,22.0,24.0,14.0,17.0,19.0,17.0,21.0,13.0,15.0,9.0,12.0,19.0,16.0,18.0,16.0,19.0,19.0,23.0
San Fernando,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0
San Joaquín,12.0,24.0,18.0,16.0,14.0,21.0,30.0,31.0,26.0,26.0,30.0,32.0,27.0,41.0,25.0,41.0,42.0,41.0,20.0,42.0,19.0,20.0,29.0,37.0,20.0,29.0,32.0,23.0,18.0,19.0,20.0,20.0,21.0,16.0,19.0,20.0,7.0,6.0,14.0,6.0,11.0,4.0,9.0,6.0,5.0,6.0,6.0,7.0,9.0,10.0,2.0,4.0,9.0,5.0,7.0,8.0,8.0,9.0,6.0,9.0,10.0,9.0,7.0,13.0,10.0,8.0
San José de Maipo,1.0,9.0,10.0,4.0,3.0,3.0,5.0,7.0,5.0,6.0,5.0,4.0,7.0,7.0,8.0,9.0,9.0,4.0,8.0,8.0,6.0,7.0,8.0,2.0,7.0,6.0,1.0,2.0,3.0,,2.0,1.0,4.0,4.0,3.0,8.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,,,1.0,,
San Miguel,33.0,34.0,30.0,41.0,21.0,32.0,83.0,68.0,51.0,46.0,73.0,76.0,69.0,79.0,54.0,59.0,66.0,80.0,79.0,77.0,57.0,49.0,57.0,63.0,55.0,52.0,36.0,46.0,33.0,40.0,46.0,43.0,47.0,40.0,43.0,29.0,16.0,16.0,18.0,17.0,13.0,14.0,18.0,20.0,17.0,13.0,12.0,8.0,20.0,10.0,11.0,17.0,14.0,15.0,12.0,9.0,13.0,16.0,11.0,31.0,23.0,27.0,23.0,17.0,19.0,18.0
San Nicolás,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro,2.0,,2.0,1.0,1.0,,3.0,4.0,4.0,2.0,,2.0,4.0,1.0,5.0,1.0,2.0,6.0,4.0,2.0,3.0,,2.0,3.0,3.0,5.0,3.0,4.0,1.0,1.0,5.0,2.0,1.0,,2.0,,2.0,,1.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,,3.0,1.0,,1.0,,,,,,,,,,,1.0
San Pedro de Atacama,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro de la Paz,,1.0,4.0,,1.0,1.0,1.0,1.0,3.0,3.0,,,1.0,,1.0,,2.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,2.0,2.0,5.0,2.0,,2.0,2.0,,2.0,1.0,1.0,3.0,,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,,
San Ramón,9.0,13.0,9.0,10.0,12.0,14.0,22.0,18.0,22.0,17.0,25.0,19.0,17.0,17.0,14.0,17.0,21.0,22.0,24.0,26.0,17.0,17.0,19.0,24.0,17.0,24.0,17.0,19.0,12.0,19.0,21.0,20.0,10.0,24.0,11.0,15.0,4.0,4.0,5.0,6.0,6.0,8.0,8.0,4.0,7.0,6.0,12.0,12.0,10.0,7.0,7.0,5.0,9.0,7.0,6.0,7.0,7.0,5.0,6.0,3.0,9.0,8.0,4.0,6.0,3.0,3.0
San Vicente,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
Santa Bárbara,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Santa Cruz,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
Santa Juana,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,1.0
Santiago,99.0,145.0,119.0,135.0,102.0,111.0,254.0,197.0,206.0,182.0,164.0,197.0,170.0,189.0,155.0,186.0,230.0,226.0,219.0,222.0,212.0,142.0,179.0,213.0,210.0,216.0,173.0,187.0,131.0,125.0,177.0,131.0,150.0,148.0,141.0,118.0,78.0,57.0,81.0,76.0,89.0,63.0,66.0,59.0,49.0,73.0,58.0,53.0,62.0,76.0,42.0,58.0,60.0,66.0,66.0,49.0,55.0,63.0,50.0,73.0,82.0,81.0,76.0,83.0,91.0,71.0
Talagante,11.0,12.0,12.0,8.0,12.0,14.0,27.0,35.0,21.0,32.0,22.0,37.0,30.0,30.0,32.0,30.0,33.0,41.0,32.0,20.0,22.0,17.0,18.0,13.0,13.0,21.0,13.0,19.0,15.0,23.0,13.0,24.0,23.0,14.0,18.0,16.0,10.0,12.0,11.0,4.0,9.0,8.0,7.0,5.0,5.0,3.0,3.0,5.0,8.0,9.0,7.0,5.0,7.0,7.0,6.0,3.0,8.0,7.0,5.0,7.0,4.0,3.0,7.0,4.0,10.0,3.0
Talcahuano,,,,2.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,,3.0,1.0,,2.0,,,,1.0,,1.0,,,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
Temuco,1.0,2.0,1.0,1.0,,,2.0,3.0,6.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,,,,2.0,2.0,,1.0,1.0,,,,1.0,2.0,1.0,,,1.0,3.0,3.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,2.0,,1.0,2.0,,3.0,3.0,1.0,2.0,1.0
Tiltil,5.0,5.0,4.0,5.0,1.0,3.0,8.0,2.0,5.0,5.0,6.0,5.0,3.0,1.0,2.0,,5.0,1.0,2.0,4.0,1.0,3.0,5.0,6.0,12.0,8.0,10.0,10.0,6.0,8.0,10.0,5.0,7.0,8.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,6.0,4.0,2.0,5.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0
Tocopilla,,1.0,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
