cont_comuna,prevision,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28
Copiapó,DESCONOCIDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copiapó,FONASA,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,
Copiapó,ISAPRE,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Coquimbo,DESCONOCIDO,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Coquimbo,FONASA,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,1.0
Coquimbo,ISAPRE,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronel,DESCONOCIDO,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
Coronel,FONASA,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,
Corral,ISAPRE,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyhaique,DESCONOCIDO,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyhaique,FONASA,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyhaique,ISAPRE,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cunco,ISAPRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacautín,FONASA,,,,,,,,,,4.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacaví,CAPREDENA,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
Curacaví,DESCONOCIDO,,,1.0,3.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,3.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,
Curacaví,DIPRECA,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Curacaví,FONASA,7.0,11.0,12.0,14.0,12.0,17.0,15.0,17.0,15.0,13.0,12.0,17.0,18.0,10.0,11.0,12.0,13.0,24.0,16.0,9.0,7.0,4.0,7.0,4.0,6.0,4.0,4.0,3.0,3.0,6.0,6.0,3.0,10.0,5.0,3.0,2.0,1.0,2.0,1.0,4.0,5.0,7.0,6.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,6.0,10.0,5.0,3.0,4.0
Curacaví,ISAPRE,,2.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,4.0,6.0,4.0,4.0,3.0,8.0,7.0,7.0,4.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,
Curacaví,NINGUNA,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curanilahue,FONASA,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
