cont_comuna,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27
Aisén,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Algarrobo,,,,,,,1.0,2.0,2.0,,1.0,2.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,
Alhué,,,1.0,2.0,2.0,4.0,3.0,5.0,2.0,,1.0,,1.0,,,1.0,,1.0,2.0,3.0,2.0,2.0,1.0,,,1.0,,,,,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,
Alto Hospicio,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,
Ancud,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andacollo,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Angol,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Antofagasta,1.0,1.0,,1.0,2.0,1.0,,,2.0,,1.0,1.0,3.0,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,,1.0,,1.0,,,,2.0,,,,,1.0,1.0,
Arauco,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,
Buin,19.0,22.0,31.0,37.0,44.0,43.0,36.0,35.0,47.0,49.0,45.0,59.0,45.0,45.0,44.0,43.0,28.0,50.0,44.0,22.0,25.0,14.0,23.0,22.0,16.0,22.0,22.0,20.0,23.0,19.0,17.0,26.0,22.0,12.0,9.0,7.0,11.0,18.0,19.0,7.0,11.0,10.0,8.0,16.0,11.0,11.0,10.0,12.0,11.0,11.0,7.0,19.0,14.0,10.0,8.0,7.0,6.0
Bulnes,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Cabildo,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabrero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calama,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
Calbuco,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,,,,,,
Calera,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,
Calera de Tango,5.0,8.0,5.0,9.0,6.0,10.0,8.0,10.0,11.0,12.0,11.0,23.0,12.0,11.0,15.0,14.0,15.0,22.0,18.0,8.0,11.0,6.0,8.0,6.0,7.0,6.0,2.0,5.0,3.0,2.0,4.0,5.0,7.0,6.0,3.0,3.0,6.0,4.0,5.0,3.0,2.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,2.0,1.0,2.0
Camarones,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartagena,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0
Casablanca,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Catemu,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
