comuna_estab_deis,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21
San Miguel,29.0,23.0,26.0,16.0,25.0,27.0,49.0,41.0,50.0,65.0,47.0,38.0,71.0,49.0,47.0,53.0,71.0,53.0,57.0,65.0,72.0,68.0,39.0,73.0,55.0,16.0,63.0,40.0,42.0,50.0,36.0,31.0,53.0,32.0,12.0,24.0,17.0,25.0,17.0,19.0,27.0,13.0,7.0,27.0,18.0,6.0,17.0,16.0,12.0,11.0,8.0
San Pedro,,2.0,1.0,1.0,,1.0,9.0,13.0,5.0,2.0,9.0,2.0,,,2.0,2.0,1.0,3.0,3.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,,3.0,1.0,,2.0,1.0,,1.0,2.0,1.0,2.0,,2.0,3.0,1.0,4.0,4.0,,1.0,2.0,,2.0,1.0,,2.0
San Ramón,32.0,5.0,24.0,20.0,7.0,16.0,20.0,18.0,25.0,34.0,41.0,32.0,37.0,38.0,27.0,28.0,31.0,22.0,27.0,38.0,27.0,31.0,43.0,45.0,21.0,39.0,40.0,28.0,25.0,31.0,25.0,13.0,23.0,20.0,11.0,21.0,11.0,4.0,10.0,13.0,3.0,13.0,9.0,4.0,8.0,9.0,9.0,13.0,3.0,6.0,13.0
Santiago,313.0,313.0,219.0,237.0,307.0,193.0,538.0,530.0,589.0,562.0,475.0,485.0,511.0,438.0,487.0,554.0,593.0,568.0,513.0,673.0,528.0,488.0,531.0,617.0,455.0,432.0,537.0,438.0,400.0,449.0,379.0,349.0,338.0,294.0,306.0,275.0,240.0,276.0,194.0,228.0,195.0,181.0,178.0,155.0,165.0,205.0,168.0,161.0,161.0,162.0,142.0
Talagante,23.0,19.0,12.0,23.0,18.0,10.0,29.0,35.0,60.0,35.0,37.0,60.0,53.0,40.0,26.0,53.0,36.0,47.0,47.0,29.0,35.0,44.0,28.0,21.0,24.0,25.0,24.0,21.0,27.0,30.0,37.0,46.0,25.0,33.0,25.0,20.0,15.0,16.0,8.0,5.0,13.0,12.0,2.0,3.0,9.0,4.0,4.0,8.0,7.0,5.0,10.0
Talca,,2.0,1.0,,1.0,1.0,1.0,,,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,,1.0,2.0,,3.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,2.0,,,2.0
Talcahuano,2.0,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,3.0,,,3.0
Tiltil,6.0,10.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,9.0,2.0,2.0,10.0,1.0,4.0,5.0,1.0,2.0,5.0,2.0,3.0,4.0,5.0,5.0,1.0,6.0,6.0,9.0,13.0,9.0,11.0,9.0,9.0,9.0,5.0,6.0,7.0,,4.0,4.0,,3.0,5.0,,6.0,16.0,,5.0,11.0,,15.0
Treguaco,,,,5.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdivia,2.0,,,,,,,,,1.0,1.0,3.0,,,3.0,,,,1.0,2.0,2.0,1.0,2.0,3.0,,,3.0,,,3.0,,2.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,
Valparaíso,5.0,,2.0,3.0,2.0,2.0,1.0,1.0,,,2.0,,3.0,5.0,,2.0,7.0,,,3.0,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,3.0,1.0,,1.0,,1.0,1.0,,2.0,,,1.0,,2.0,,
Villa Alemana,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
Villarrica,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
Vitacura,9.0,8.0,11.0,9.0,8.0,6.0,23.0,11.0,19.0,15.0,5.0,13.0,16.0,15.0,18.0,19.0,26.0,17.0,16.0,15.0,20.0,27.0,9.0,16.0,20.0,8.0,18.0,17.0,12.0,17.0,17.0,15.0,4.0,10.0,7.0,5.0,13.0,6.0,2.0,5.0,10.0,7.0,3.0,8.0,7.0,4.0,6.0,6.0,7.0,7.0,8.0
Viña del Mar,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,8.0,2.0,7.0,12.0,2.0,7.0,4.0,,2.0,2.0,,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,,5.0,2.0,5.0,,,2.0,,1.0,2.0,,,2.0,,,,,,1.0,,4.0,1.0
Ñuñoa,13.0,20.0,33.0,17.0,18.0,17.0,48.0,43.0,41.0,48.0,51.0,41.0,37.0,57.0,43.0,42.0,53.0,64.0,53.0,62.0,80.0,53.0,36.0,57.0,37.0,29.0,48.0,27.0,31.0,46.0,18.0,38.0,24.0,22.0,32.0,19.0,24.0,10.0,19.0,16.0,7.0,23.0,10.0,9.0,18.0,12.0,10.0,9.0,10.0,15.0,16.0
