comuna_estab_deis,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21
Hijuelas,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
Hualañé,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Hualpén,,,,,1.0,,1.0,,,,,,5.0,1.0,,5.0,1.0,,,3.0,,,3.0,,,,1.0,,,1.0,,,2.0,,,2.0,,1.0,,,,1.0,,,1.0,,,1.0,,,
Huechuraba,14.0,17.0,9.0,21.0,17.0,9.0,37.0,42.0,59.0,42.0,29.0,49.0,33.0,32.0,83.0,46.0,50.0,84.0,65.0,52.0,66.0,65.0,47.0,53.0,50.0,44.0,60.0,28.0,23.0,66.0,33.0,15.0,38.0,26.0,20.0,24.0,15.0,6.0,11.0,17.0,7.0,13.0,20.0,9.0,26.0,8.0,8.0,29.0,11.0,8.0,11.0
Illapel,,,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,3.0,,1.0,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,
Independencia,19.0,22.0,16.0,5.0,12.0,10.0,40.0,39.0,37.0,43.0,51.0,38.0,37.0,44.0,35.0,39.0,42.0,39.0,42.0,47.0,44.0,40.0,33.0,42.0,53.0,40.0,41.0,43.0,44.0,42.0,43.0,35.0,43.0,33.0,38.0,29.0,12.0,13.0,13.0,30.0,12.0,19.0,28.0,13.0,11.0,17.0,11.0,8.0,10.0,11.0,7.0
Iquique,4.0,1.0,2.0,,,1.0,8.0,1.0,1.0,7.0,,,4.0,,1.0,3.0,,2.0,1.0,,1.0,1.0,,2.0,2.0,,2.0,2.0,,,,,1.0,1.0,,2.0,,,2.0,,,,,2.0,,,2.0,,,,
Isla de Maipo,7.0,11.0,12.0,17.0,1.0,7.0,16.0,14.0,25.0,10.0,7.0,22.0,13.0,5.0,13.0,24.0,30.0,28.0,15.0,40.0,28.0,19.0,25.0,26.0,9.0,20.0,17.0,10.0,12.0,15.0,13.0,19.0,15.0,8.0,29.0,18.0,14.0,4.0,1.0,5.0,2.0,1.0,7.0,,7.0,2.0,,8.0,4.0,1.0,3.0
La Cisterna,30.0,11.0,18.0,21.0,15.0,33.0,28.0,30.0,19.0,42.0,34.0,25.0,43.0,36.0,24.0,30.0,31.0,18.0,32.0,35.0,31.0,38.0,52.0,52.0,33.0,37.0,40.0,45.0,22.0,34.0,20.0,14.0,16.0,20.0,9.0,14.0,9.0,15.0,15.0,4.0,10.0,10.0,3.0,13.0,7.0,8.0,9.0,8.0,10.0,3.0,7.0
La Florida,107.0,81.0,75.0,91.0,72.0,53.0,111.0,124.0,133.0,109.0,129.0,128.0,98.0,133.0,122.0,117.0,129.0,154.0,131.0,172.0,191.0,169.0,173.0,243.0,155.0,150.0,190.0,139.0,143.0,107.0,123.0,117.0,107.0,110.0,98.0,114.0,56.0,57.0,70.0,58.0,55.0,67.0,57.0,23.0,48.0,46.0,34.0,48.0,46.0,36.0,53.0
La Granja,39.0,57.0,37.0,27.0,32.0,29.0,70.0,106.0,73.0,75.0,117.0,47.0,68.0,83.0,61.0,61.0,86.0,71.0,49.0,106.0,89.0,82.0,89.0,84.0,79.0,66.0,55.0,78.0,66.0,45.0,65.0,47.0,29.0,55.0,58.0,27.0,23.0,25.0,27.0,13.0,36.0,17.0,18.0,27.0,14.0,8.0,8.0,34.0,8.0,16.0,21.0
