cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10
Puchuncaví,,,,,,2.0,,,,,1.0,,,2.0,,1.0,,1.0,,,,1.0,1.0,,1.0,3.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
Pucón,1.0,,2.0,,,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,2.0,,,1.0,,2.0,,,2.0,,,,,,,,,1.0,,,3.0,,,,,1.0,,,,1.0,,,2.0,,,2.0,,,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0
Pudahuel,100.0,53.0,73.0,80.0,74.0,78.0,121.0,183.0,159.0,166.0,202.0,199.0,162.0,240.0,194.0,153.0,182.0,195.0,108.0,166.0,186.0,132.0,166.0,161.0,139.0,139.0,176.0,110.0,121.0,147.0,117.0,112.0,77.0,122.0,87.0,57.0,64.0,77.0,69.0,34.0,42.0,60.0,18.0,59.0,49.0,32.0,52.0,39.0,56.0,26.0,34.0,42.0,31.0,26.0,28.0,34.0,28.0,28.0,41.0,38.0,44.0,47.0,36.0,55.0,63.0,47.0,48.0,70.0,65.0,67.0,95.0
Puente Alto,168.0,165.0,140.0,167.0,135.0,127.0,224.0,295.0,253.0,261.0,302.0,234.0,326.0,336.0,254.0,323.0,340.0,327.0,275.0,338.0,349.0,278.0,289.0,327.0,263.0,229.0,294.0,237.0,238.0,272.0,204.0,208.0,203.0,198.0,181.0,167.0,126.0,102.0,117.0,99.0,96.0,113.0,123.0,74.0,69.0,97.0,75.0,67.0,59.0,57.0,59.0,60.0,34.0,59.0,48.0,32.0,66.0,69.0,45.0,78.0,82.0,68.0,84.0,64.0,83.0,91.0,87.0,110.0,91.0,175.0,160.0
Puerto Montt,3.0,,1.0,2.0,1.0,1.0,,1.0,,2.0,1.0,2.0,2.0,,2.0,,,1.0,1.0,,,1.0,,,,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,4.0,1.0,,3.0,4.0,,,2.0,,,,1.0,,,4.0,,2.0,2.0,1.0,2.0,,3.0,,1.0,1.0,1.0,2.0,,,1.0,,1.0,,
Puerto Octay,1.0,,3.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Varas,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,1.0,,,4.0,1.0,2.0,3.0,1.0,,,2.0,,,1.0,,,1.0,,,,2.0
Punta Arenas,1.0,1.0,4.0,,,13.0,1.0,,1.0,4.0,3.0,,2.0,4.0,,,,,,,,1.0,,,1.0,,1.0,,1.0,3.0,,3.0,5.0,1.0,3.0,3.0,,1.0,8.0,,1.0,,,,8.0,,1.0,7.0,,,,,5.0,,,3.0,,,,2.0,,1.0,3.0,1.0,3.0,1.0,2.0,2.0,,1.0,
Purén,2.0,,2.0,,,,,,,,,,,,,2.0,,,3.0,,,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,,,,2.0,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,2.0,,,4.0,,,3.0,,,,1.0,,,,,
Puyehue,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quilicura,45.0,50.0,39.0,41.0,60.0,31.0,109.0,98.0,110.0,105.0,107.0,118.0,102.0,114.0,120.0,111.0,129.0,129.0,107.0,158.0,154.0,96.0,114.0,167.0,79.0,63.0,118.0,71.0,101.0,91.0,55.0,88.0,62.0,45.0,55.0,49.0,40.0,40.0,45.0,25.0,37.0,51.0,35.0,52.0,22.0,26.0,44.0,43.0,33.0,30.0,28.0,24.0,34.0,31.0,18.0,52.0,25.0,34.0,51.0,28.0,59.0,34.0,38.0,50.0,38.0,37.0,51.0,53.0,61.0,59.0,75.0
Quillota,,,,3.0,1.0,,1.0,1.0,1.0,,2.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,5.0,1.0,
Quilpue,,1.0,,1.0,,,,,,2.0,,,1.0,,1.0,1.0,,,2.0,1.0,,,,,,,1.0,3.0,2.0,1.0,3.0,2.0,1.0,,1.0,,1.0,1.0,,,6.0,,,,,,,,1.0,,,1.0,,,,,,,,1.0,3.0,2.0,,,1.0,1.0,,,1.0,1.0,3.0
Quinta Normal,35.0,48.0,45.0,52.0,24.0,26.0,97.0,108.0,60.0,93.0,87.0,74.0,58.0,62.0,71.0,75.0,61.0,49.0,66.0,87.0,55.0,60.0,84.0,68.0,64.0,56.0,67.0,93.0,59.0,73.0,100.0,57.0,86.0,53.0,57.0,76.0,39.0,22.0,26.0,28.0,21.0,33.0,30.0,13.0,51.0,36.0,5.0,57.0,41.0,11.0,36.0,32.0,12.0,15.0,28.0,4.0,25.0,26.0,23.0,24.0,46.0,22.0,19.0,37.0,13.0,21.0,30.0,44.0,43.0,46.0,85.0
Quintero,1.0,,1.0,2.0,,,1.0,,1.0,,5.0,1.0,,5.0,,,,1.0,,,1.0,1.0,3.0,,3.0,3.0,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,,1.0,1.0,,,,
Rancagua,3.0,1.0,,2.0,3.0,,5.0,2.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,3.0,6.0,,3.0,6.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,,12.0,6.0,2.0,12.0,3.0,3.0,2.0,,5.0,1.0,,5.0,1.0,,,,,,1.0,2.0,,1.0,1.0,1.0,,,2.0,3.0,2.0,1.0,8.0,1.0,2.0,8.0,3.0,5.0,3.0,1.0,3.0,4.0,1.0,1.0
Recoleta,41.0,67.0,31.0,39.0,38.0,32.0,66.0,48.0,39.0,78.0,54.0,55.0,86.0,47.0,76.0,92.0,66.0,93.0,66.0,87.0,107.0,65.0,81.0,118.0,71.0,70.0,75.0,55.0,88.0,53.0,55.0,82.0,73.0,55.0,86.0,65.0,32.0,36.0,24.0,49.0,36.0,25.0,57.0,35.0,21.0,46.0,26.0,23.0,42.0,27.0,14.0,30.0,12.0,13.0,22.0,6.0,16.0,23.0,22.0,17.0,19.0,26.0,15.0,17.0,21.0,20.0,17.0,39.0,27.0,30.0,59.0
Renca,74.0,41.0,39.0,52.0,47.0,43.0,120.0,80.0,134.0,140.0,91.0,127.0,172.0,116.0,123.0,130.0,143.0,127.0,71.0,134.0,107.0,87.0,102.0,107.0,69.0,62.0,106.0,76.0,54.0,90.0,70.0,47.0,70.0,66.0,54.0,75.0,44.0,48.0,36.0,57.0,22.0,34.0,51.0,18.0,26.0,27.0,19.0,47.0,29.0,16.0,42.0,23.0,22.0,14.0,28.0,12.0,15.0,23.0,12.0,18.0,24.0,10.0,39.0,39.0,25.0,39.0,29.0,47.0,43.0,29.0,51.0
Rengo,2.0,4.0,2.0,2.0,3.0,1.0,2.0,,2.0,1.0,,,1.0,,,2.0,,,3.0,,3.0,2.0,,3.0,,,,,,,4.0,,,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,
Rinconada,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Río Bueno,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
Río Negro,,,3.0,1.0,,3.0,,,,,,,,,,,2.0,,,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
San Antonio,,1.0,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,2.0,,1.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,2.0,,,2.0,,,,,,1.0,,3.0,,2.0,2.0,1.0,1.0,1.0,
San Bernardo,102.0,74.0,66.0,81.0,70.0,48.0,117.0,156.0,136.0,88.0,125.0,113.0,100.0,109.0,93.0,135.0,129.0,103.0,139.0,137.0,142.0,129.0,124.0,173.0,102.0,130.0,157.0,125.0,133.0,108.0,111.0,80.0,95.0,109.0,78.0,88.0,56.0,54.0,35.0,43.0,38.0,38.0,44.0,41.0,42.0,43.0,30.0,38.0,39.0,25.0,33.0,23.0,31.0,22.0,18.0,35.0,17.0,13.0,29.0,29.0,20.0,34.0,27.0,24.0,23.0,36.0,31.0,42.0,57.0,67.0,88.0
San Carlos,4.0,1.0,2.0,,2.0,3.0,,,,1.0,,,,,2.0,,,2.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,,,1.0,,,4.0,,,,1.0,1.0,,,1.0,2.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,1.0,2.0,,1.0,,1.0,,,1.0,,
San Esteban,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,2.0,1.0,4.0
San Felipe,,,,1.0,,,1.0,,4.0,2.0,,3.0,,,,,2.0,1.0,,3.0,2.0,1.0,2.0,1.0,,1.0,,2.0,,,2.0,,2.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,3.0,2.0
San Joaquín,33.0,29.0,12.0,22.0,31.0,13.0,29.0,49.0,29.0,53.0,45.0,22.0,59.0,35.0,30.0,81.0,26.0,29.0,70.0,48.0,42.0,32.0,54.0,46.0,22.0,40.0,30.0,28.0,32.0,43.0,22.0,21.0,31.0,31.0,17.0,18.0,24.0,12.0,12.0,16.0,4.0,5.0,11.0,9.0,9.0,4.0,16.0,10.0,12.0,7.0,2.0,18.0,,8.0,17.0,9.0,10.0,7.0,11.0,9.0,9.0,18.0,24.0,11.0,25.0,25.0,10.0,25.0,30.0,28.0,36.0
San José de Maipo,15.0,1.0,13.0,14.0,4.0,5.0,10.0,6.0,2.0,7.0,8.0,9.0,7.0,17.0,11.0,12.0,23.0,10.0,10.0,10.0,10.0,8.0,11.0,8.0,6.0,8.0,7.0,3.0,,4.0,,3.0,7.0,7.0,3.0,5.0,7.0,5.0,2.0,1.0,,2.0,,,,1.0,,,2.0,,1.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,5.0,1.0,26.0,15.0,1.0,25.0,19.0,,,5.0,1.0,,1.0
San Juan de la Costa,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
San Miguel,31.0,36.0,34.0,22.0,33.0,14.0,56.0,64.0,49.0,76.0,62.0,43.0,86.0,57.0,47.0,80.0,85.0,64.0,77.0,86.0,68.0,84.0,49.0,92.0,59.0,20.0,90.0,51.0,50.0,66.0,49.0,41.0,75.0,36.0,15.0,42.0,27.0,25.0,12.0,23.0,27.0,19.0,25.0,26.0,17.0,27.0,17.0,19.0,11.0,12.0,14.0,20.0,14.0,24.0,26.0,8.0,29.0,15.0,18.0,29.0,20.0,22.0,21.0,15.0,23.0,18.0,22.0,37.0,29.0,53.0,61.0
San Pedro,,3.0,1.0,,,1.0,9.0,16.0,10.0,2.0,9.0,1.0,,,,2.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,,2.0,1.0,,3.0,1.0,,2.0,1.0,,3.0,3.0,,,,,2.0,,3.0,5.0,,1.0,3.0,,2.0,1.0,,2.0,1.0,,,,,,,,,,,1.0,,,1.0,2.0,6.0,,2.0,6.0
San Pedro de la Paz,1.0,,,,1.0,,,,,,,,2.0,,,3.0,,,2.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,1.0,,9.0,,,9.0,,1.0,,,,,,,1.0,,,,3.0,
San Ramón,27.0,11.0,29.0,16.0,9.0,19.0,19.0,18.0,27.0,35.0,34.0,28.0,36.0,35.0,20.0,25.0,23.0,21.0,17.0,32.0,33.0,23.0,29.0,56.0,14.0,28.0,44.0,29.0,25.0,26.0,27.0,18.0,14.0,14.0,20.0,16.0,11.0,2.0,6.0,9.0,3.0,15.0,9.0,4.0,10.0,9.0,11.0,9.0,7.0,6.0,4.0,8.0,1.0,6.0,6.0,4.0,19.0,6.0,3.0,20.0,6.0,14.0,3.0,1.0,17.0,6.0,1.0,10.0,20.0,11.0,24.0
San Vicente,1.0,,,1.0,,,,,,,,2.0,,1.0,3.0,,2.0,2.0,,3.0,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,,3.0,,,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,
Santa Juana,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,2.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Santiago,126.0,131.0,117.0,91.0,102.0,79.0,147.0,175.0,194.0,161.0,172.0,144.0,164.0,162.0,153.0,126.0,166.0,168.0,122.0,182.0,157.0,169.0,178.0,202.0,141.0,158.0,202.0,136.0,156.0,161.0,132.0,120.0,107.0,125.0,113.0,117.0,83.0,87.0,83.0,73.0,58.0,73.0,50.0,41.0,44.0,63.0,48.0,47.0,59.0,62.0,50.0,49.0,48.0,80.0,40.0,48.0,70.0,39.0,67.0,80.0,69.0,75.0,86.0,105.0,67.0,93.0,79.0,83.0,108.0,116.0,120.0
Santo Domingo,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0
Talagante,20.0,33.0,6.0,27.0,31.0,9.0,30.0,37.0,69.0,44.0,44.0,78.0,69.0,41.0,36.0,57.0,47.0,53.0,44.0,38.0,45.0,39.0,32.0,25.0,32.0,21.0,21.0,35.0,26.0,27.0,38.0,65.0,25.0,23.0,41.0,23.0,19.0,17.0,6.0,4.0,12.0,6.0,2.0,4.0,10.0,5.0,5.0,10.0,7.0,11.0,10.0,8.0,4.0,11.0,19.0,8.0,9.0,16.0,9.0,11.0,8.0,13.0,8.0,14.0,13.0,2.0,6.0,6.0,13.0,22.0,17.0
Talcahuano,3.0,1.0,,4.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,10.0,,1.0,9.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,2.0,,,1.0,,,,,,
Temuco,2.0,4.0,2.0,2.0,8.0,5.0,,3.0,,,,3.0,,1.0,8.0,,5.0,10.0,1.0,3.0,6.0,2.0,,3.0,,2.0,9.0,1.0,5.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,,3.0,6.0,4.0,4.0,8.0,2.0,1.0,8.0,1.0,1.0,3.0,,2.0,1.0,1.0,2.0,7.0,1.0,4.0,6.0,3.0,3.0,10.0,4.0,3.0,19.0,3.0,2.0,7.0,2.0,2.0,1.0,4.0,3.0
Teno,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teodoro Schmidt,,,3.0,,2.0,3.0,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
Tiltil,7.0,9.0,11.0,2.0,2.0,11.0,8.0,6.0,6.0,9.0,6.0,5.0,9.0,1.0,4.0,5.0,4.0,4.0,6.0,1.0,3.0,3.0,5.0,5.0,1.0,11.0,6.0,13.0,20.0,8.0,28.0,13.0,14.0,18.0,5.0,12.0,7.0,,5.0,5.0,3.0,4.0,7.0,,6.0,17.0,,5.0,12.0,,19.0,7.0,,21.0,6.0,,,6.0,1.0,,2.0,,,2.0,5.0,,2.0,19.0,2.0,,17.0
Toltén,,1.0,,,1.0,,,,,,1.0,1.0,1.0,16.0,1.0,1.0,14.0,11.0,,,12.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,3.0,3.0,,1.0,,,,,,1.0
Tome,2.0,,,,,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,3.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,
Tucapel,1.0,,,,,,,,,,,,,,,4.0,,2.0,6.0,,2.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
Valdivia,3.0,11.0,18.0,2.0,10.0,,,,,,1.0,,,1.0,,,7.0,,1.0,5.0,2.0,5.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,,1.0,,18.0,1.0,,,1.0,2.0,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,4.0,,,3.0,,,,1.0
Vallenar,,,3.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,6.0,3.0,9.0,6.0,1.0,10.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,,,,5.0,2.0,,,1.0,,1.0,1.0,3.0,1.0,2.0,3.0,2.0,5.0,,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,,1.0,5.0,1.0,,5.0,1.0,1.0,1.0,,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,,2.0,2.0,4.0,2.0,,4.0,3.0,2.0,2.0,3.0,,1.0,,,3.0,3.0,2.0,3.0
Victoria,2.0,4.0,1.0,,2.0,,,,,,,,,,2.0,,,2.0,,,,,1.0,,3.0,1.0,,4.0,,,1.0,,,2.0,2.0,1.0,,1.0,,,1.0,,,,,,,,3.0,6.0,,3.0,3.0,,,1.0,,,,,,,,,1.0,,,1.0,,,
Vilcún,,,,,1.0,,,1.0,,,,,,,,,,,,3.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,2.0,,,,1.0,,,1.0
Villa Alemana,,,1.0,2.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,3.0,,,1.0,,,1.0,3.0
Villarrica,,,3.0,,,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,,1.0,5.0,3.0,3.0,6.0,4.0,4.0,5.0,6.0,3.0,2.0,5.0,3.0,,1.0,4.0,2.0,,3.0,2.0,,1.0,2.0,,,1.0,,2.0,,,1.0,,,,,2.0,,,1.0,,1.0,,2.0,1.0,1.0,2.0,,2.0,2.0,8.0,3.0,2.0,5.0,2.0,1.0,,
Vitacura,12.0,14.0,4.0,13.0,18.0,1.0,31.0,16.0,30.0,34.0,19.0,26.0,27.0,14.0,15.0,28.0,38.0,30.0,27.0,46.0,35.0,36.0,34.0,32.0,31.0,24.0,31.0,24.0,29.0,21.0,16.0,11.0,11.0,15.0,3.0,9.0,16.0,8.0,1.0,8.0,16.0,12.0,16.0,10.0,8.0,20.0,4.0,14.0,16.0,12.0,17.0,14.0,20.0,25.0,46.0,37.0,29.0,31.0,31.0,42.0,26.0,29.0,67.0,19.0,26.0,51.0,31.0,43.0,44.0,63.0,66.0
Viña del Mar,,1.0,,3.0,1.0,,2.0,1.0,1.0,1.0,,3.0,5.0,,4.0,7.0,3.0,2.0,3.0,,3.0,4.0,1.0,2.0,,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,,,,3.0,1.0,3.0,,1.0,9.0,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0
Yumbel,1.0,1.0,,1.0,,,1.0,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,
Yungay,,,,,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,2.0,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,1.0,,2.0,1.0,,2.0,,,
Ñuñoa,38.0,41.0,39.0,28.0,47.0,31.0,59.0,101.0,103.0,79.0,92.0,84.0,77.0,80.0,63.0,81.0,90.0,105.0,108.0,94.0,114.0,100.0,52.0,87.0,49.0,53.0,76.0,58.0,45.0,55.0,44.0,48.0,32.0,38.0,56.0,36.0,35.0,43.0,32.0,33.0,39.0,48.0,13.0,23.0,47.0,28.0,20.0,34.0,32.0,33.0,34.0,25.0,47.0,45.0,38.0,33.0,37.0,46.0,18.0,39.0,38.0,27.0,81.0,45.0,33.0,93.0,63.0,70.0,111.0,123.0,84.0
