cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10
Lo Espejo,20.0,10.0,15.0,15.0,13.0,9.0,24.0,41.0,33.0,45.0,42.0,26.0,38.0,64.0,36.0,79.0,81.0,54.0,76.0,62.0,49.0,36.0,38.0,52.0,40.0,40.0,69.0,44.0,25.0,59.0,32.0,27.0,24.0,18.0,24.0,24.0,14.0,26.0,27.0,10.0,20.0,21.0,6.0,8.0,11.0,11.0,1.0,5.0,7.0,1.0,,3.0,5.0,10.0,5.0,7.0,8.0,4.0,2.0,5.0,10.0,6.0,10.0,26.0,6.0,15.0,32.0,23.0,17.0,40.0,38.0
Lo Prado,41.0,53.0,30.0,33.0,42.0,33.0,56.0,75.0,73.0,83.0,61.0,68.0,61.0,54.0,81.0,77.0,71.0,85.0,82.0,101.0,62.0,72.0,96.0,110.0,94.0,51.0,81.0,81.0,69.0,48.0,57.0,76.0,53.0,48.0,62.0,42.0,15.0,26.0,37.0,9.0,46.0,39.0,26.0,27.0,34.0,38.0,4.0,19.0,24.0,6.0,16.0,17.0,18.0,9.0,16.0,24.0,4.0,13.0,23.0,18.0,11.0,14.0,14.0,19.0,6.0,9.0,16.0,10.0,22.0,15.0,31.0
Lonquimay,2.0,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,,,,,,,2.0,,1.0,2.0,,2.0,1.0,,1.0,,,,1.0,1.0,,1.0,5.0,,,5.0,,,,,,,,
Los Andes,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,3.0,6.0,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,1.0
Los Muermos,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Vilos,2.0,,10.0,1.0,,4.0,,,2.0,4.0,,3.0,4.0,,5.0,4.0,2.0,7.0,2.0,4.0,1.0,7.0,16.0,6.0,8.0,14.0,3.0,1.0,,1.0,,,1.0,2.0,,8.0,,,1.0,,,2.0,,2.0,,,2.0,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,
Los Ángeles,3.0,12.0,,7.0,5.0,2.0,3.0,1.0,8.0,13.0,2.0,10.0,4.0,3.0,7.0,3.0,10.0,5.0,3.0,9.0,9.0,5.0,2.0,12.0,3.0,3.0,7.0,1.0,4.0,3.0,5.0,5.0,2.0,4.0,10.0,,2.0,2.0,2.0,1.0,1.0,2.0,8.0,,1.0,7.0,,,3.0,,,,,1.0,,,1.0,,,2.0,1.0,,2.0,3.0,1.0,,1.0,1.0,3.0,1.0,
Lota,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,5.0,2.0,,,2.0,,,,,3.0,,1.0,3.0,,,,,,1.0,,,,,5.0,3.0,,1.0,3.0,,,,,,,,1.0
Machalí,4.0,,2.0,2.0,,,4.0,1.0,,1.0,3.0,,1.0,3.0,,1.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,1.0,,,,1.0,,3.0,,,,,,,3.0,3.0,,3.0,3.0,,1.0,,,,,,,,,1.0,,2.0,4.0,,2.0,10.0,1.0,,2.0,3.0,3.0,5.0,7.0
Macul,21.0,7.0,23.0,14.0,28.0,13.0,62.0,52.0,70.0,57.0,48.0,59.0,46.0,49.0,44.0,54.0,55.0,45.0,43.0,55.0,40.0,49.0,46.0,38.0,62.0,39.0,42.0,57.0,50.0,38.0,35.0,76.0,32.0,27.0,48.0,34.0,10.0,28.0,10.0,25.0,10.0,19.0,35.0,15.0,19.0,12.0,22.0,19.0,7.0,28.0,19.0,8.0,23.0,10.0,7.0,15.0,13.0,16.0,14.0,30.0,31.0,17.0,17.0,32.0,20.0,20.0,15.0,35.0,48.0,31.0,42.0
